date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:06	13052/13052	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Dec%202023%2014:43:05%20GMT	http://127.0.0.1:8000/robots.txt		(from )
14:43:07	39647/39647	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:06%20GMT	http://127.0.0.1:8000/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/index.html	(from )
14:43:09	8092/8092	---M--	200	added ('OK')	image/png	etag:%22655b706c-1f9c%22	http://127.0.0.1:8000/static/images/favicons/apple-touch-icon.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/favicons/apple-touch-icon.png	(from http://127.0.0.1:8000/)
14:43:09	1378/1378	---M--	200	added ('OK')	image/png	etag:%22655b706c-562%22	http://127.0.0.1:8000/static/images/favicons/favicon-32x32.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/favicons/favicon-32x32.png	(from http://127.0.0.1:8000/)
14:43:10	648/648	---M--	200	added ('OK')	image/png	etag:%22655b706c-288%22	http://127.0.0.1:8000/static/images/favicons/favicon-16x16.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/favicons/favicon-16x16.png	(from http://127.0.0.1:8000/)
14:43:11	263/263	---M--	200	added ('OK')	application/octet-stream	etag:%22655b706c-107%22	http://127.0.0.1:8000/static/images/favicons/site.webmanifest	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/favicons/site.webmanifest	(from http://127.0.0.1:8000/)
14:43:13	7490/7490	---M--	200	added ('OK')	text/css	etag:%22655b706c-1d42%22	http://127.0.0.1:8000/static/css/project.min.css	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/css/project.min.css	(from http://127.0.0.1:8000/)
14:43:13	163873/163873	---M-Z	200	added ('OK')	text/css	etag:%226161dfe3-5ccc%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/css/bootstrap.min.css	/home/gabriel/websites/Djangocon_22/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/css/bootstrap.min.css	(from http://127.0.0.1:8000/)
14:43:15	45/45	---M--	200	added ('OK')	text/javascript	etag:%22655b706c-2d%22	http://127.0.0.1:8000/static/js/project.js	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/js/project.js	(from http://127.0.0.1:8000/)
14:43:15	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:%226161dfe3-5a1a%22	https://cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/js/bootstrap.bundle.min.js	/home/gabriel/websites/Djangocon_22/cdnjs.cloudflare.com/ajax/libs/bootstrap/5.1.3/js/bootstrap.bundle.min.js	(from http://127.0.0.1:8000/)
14:43:17	16084/16084	---M--	200	added ('OK')	image/png	etag:%22655b706c-3ed4%22	http://127.0.0.1:8000/static/images/logo/logo_white.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/logo/logo_white.png	(from http://127.0.0.1:8000/)
14:43:17	0/-1	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Dec%202023%2014:43:17%20GMT	http://127.0.0.1:8000/sponsors/sponsors	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/sponsors/sponsors.9.delayed	(from http://127.0.0.1:8000/)
14:43:17	39615/39615	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:17%20GMT	http://127.0.0.1:8000/home/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/home/index.html	(from http://127.0.0.1:8000/)
14:43:19	39814/39814	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:18%20GMT	http://127.0.0.1:8000/talks/cfp/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/talks/cfp/index.html	(from http://127.0.0.1:8000/)
14:43:19	35252/35252	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:18%20GMT	http://127.0.0.1:8000/talks/selection_process/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/talks/selection_process/index.html	(from http://127.0.0.1:8000/)
14:43:19	30317/30317	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:18%20GMT	http://127.0.0.1:8000/talks/schedule/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/talks/schedule/index.html	(from http://127.0.0.1:8000/)
14:43:19	39908/39908	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:18%20GMT	http://127.0.0.1:8000/information/porto/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/porto/index.html	(from http://127.0.0.1:8000/)
14:43:21	35609/35609	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:20%20GMT	http://127.0.0.1:8000/information/venue/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/venue/index.html	(from http://127.0.0.1:8000/)
14:43:21	34714/34714	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:20%20GMT	http://127.0.0.1:8000/information/grants/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/grants/index.html	(from http://127.0.0.1:8000/)
14:43:21	31265/31265	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:20%20GMT	http://127.0.0.1:8000/information/sprints/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/sprints/index.html	(from http://127.0.0.1:8000/)
14:43:23	21335/21335	---M--	200	added ('OK')	image/png	etag:%22655b706c-5357%22	http://127.0.0.1:8000/static/images/logo/logo_blue.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/logo/logo_blue.png	(from http://127.0.0.1:8000/)
14:43:23	66300/66300	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:22%20GMT	http://127.0.0.1:8000/information/hospitality/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/hospitality/index.html	(from http://127.0.0.1:8000/)
14:43:23	33832/33832	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:22%20GMT	http://127.0.0.1:8000/information/social_events/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/social_events/index.html	(from http://127.0.0.1:8000/)
14:43:25	30849/30849	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:23%20GMT	http://127.0.0.1:8000/information/tshirts/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/tshirts/index.html	(from http://127.0.0.1:8000/)
14:43:27	43861/43861	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:24%20GMT	http://127.0.0.1:8000/information/announcements/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/information/announcements/index.html	(from http://127.0.0.1:8000/)
14:43:27	34854/34854	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:24%20GMT	http://127.0.0.1:8000/sponsors/sponsors/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/sponsors/sponsors/index.html	(from http://127.0.0.1:8000/)
14:43:29	32526/32526	---M--	200	added ('OK')	image/png	etag:%22655b706c-7f0e%22	http://127.0.0.1:8000/static/images/sponsors/platformsh.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/sponsors/platformsh.png	(from http://127.0.0.1:8000/)
14:43:29	6689/6689	---M--	200	added ('OK')	image/svg+xml	etag:%22655b706c-1a21%22	http://127.0.0.1:8000/static/images/sponsors/kolo.svg	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/sponsors/kolo.c.delayed	(from http://127.0.0.1:8000/)
14:43:29	30876/30876	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:27%20GMT	http://127.0.0.1:8000/sponsors/supporters/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/sponsors/supporters/index.html	(from http://127.0.0.1:8000/)
14:43:29	42345/42345	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:27%20GMT	http://127.0.0.1:8000/sponsors/jobs/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/sponsors/jobs/index.html	(from http://127.0.0.1:8000/)
14:43:31	39060/39060	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:29%20GMT	http://127.0.0.1:8000/sponsors/sponsorship/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/sponsors/sponsorship/index.html	(from http://127.0.0.1:8000/)
14:43:33	22679/22679	---M--	200	added ('OK')	image/png	etag:%22655b706c-5897%22	http://127.0.0.1:8000/static/images/sponsors/sendcloud.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/sponsors/sendcloud.png	(from http://127.0.0.1:8000/)
14:43:33	2273/2273	---M--	200	added ('OK')	image/svg+xml	etag:%22655b706c-8e1%22	http://127.0.0.1:8000/static/images/sponsors/silvr.svg	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/sponsors/silvr.svg	(from http://127.0.0.1:8000/)
14:43:33	39635/39635	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:31%20GMT	http://127.0.0.1:8000/conduct/code_of_conduct/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/conduct/code_of_conduct/index.html	(from http://127.0.0.1:8000/)
14:43:33	41879/41879	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:31%20GMT	http://127.0.0.1:8000/conduct/response_guide/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/conduct/response_guide/index.html	(from http://127.0.0.1:8000/)
14:43:35	39875/39875	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:33%20GMT	http://127.0.0.1:8000/conduct/privacy_guide/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/conduct/privacy_guide/index.html	(from http://127.0.0.1:8000/)
14:43:35	34007/34007	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:34%20GMT	http://127.0.0.1:8000/tickets/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/tickets/index.html	(from http://127.0.0.1:8000/)
14:43:35	32969/32969	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:34%20GMT	http://127.0.0.1:8000/about/contact/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/about/contact/index.html	(from http://127.0.0.1:8000/)
14:43:35	30911/30911	---M--	200	added ('OK')	text/html	date:Mon,%2004%20Dec%202023%2014:43:34%20GMT	http://127.0.0.1:8000/about/credits/	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/about/credits/index.html	(from http://127.0.0.1:8000/)
14:43:39	1500/1500	---M--	200	added ('OK')	image/svg+xml	etag:%22655b706c-5dc%22	http://127.0.0.1:8000/static/images/sponsors/sentry.svg	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/sponsors/sentry.svg	(from http://127.0.0.1:8000/)
14:43:43	12510/12510	---M--	200	added ('OK')	image/png	etag:%22655b706c-30de%22	http://127.0.0.1:8000/static/images/sponsors/checksec.png	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/sponsors/checksec.png	(from http://127.0.0.1:8000/)
14:43:43	2215/2215	---M--	200	added ('OK')	image/svg+xml	etag:%22655b706c-8a7%22	http://127.0.0.1:8000/static/images/sponsors/SaltPay_Logo_Purple.svg	/home/gabriel/websites/Djangocon_22/127.0.0.1_8000/static/images/sponsors/SaltPay_Logo_Purple.svg	(from http://127.0.0.1:8000/)
